article_id,title,cluster_description,cluster_id
91035,Scaling Ordered Stream Processing on Shared-Memory Multicores,Distributed Stream Processing Systems,398
267093,Cross-layer Path Selection in Multi-path Transport Protocol for Mobile Devices,MANET routing and ad hoc networks,248
63573,Multifidelity conditional value-at-risk estimation by dimensionally decomposed generalized polynomial chaos-Kriging,Multifidelity Surrogate Modeling,228
68748,Trajectory Convergence from Coordinate-wise Decrease of General Energy Functions,Stability and Control of Nonlinear Systems,26
165944,A Comprehensive Exploration on WikiSQL with Table-Aware Word Contextualization,Natural Language to SQL Generation,242
99544,Learning Monocular Depth by Distilling Cross-domain Stereo Networks,Depth Estimation and Recovery Techniques,61
111642,Critical Anatomy-Preserving & Terrain-Augmenting Navigation (CAPTAiN): Application to Laminectomy Surgical Education,Endoscopic Surgical Phase Recognition,74
106992,Cross-domain Dialogue Policy Transfer via Simultaneous Speech-act and Slot Alignment,Task-Oriented Dialogue Systems,51
180707,ROBI: A Multi-View Dataset for Reflective Objects in Robotic Bin-Picking,6D Pose Estimation and Modeling,213
136539,MAG$\pi$: Types for Failure-Prone Communication,Multi-party Session Type Systems,461
184478,Similarity measure for Public Persons,Event and Relation Extraction,427
129912,Machine Learned Learning Machines,Optimization Algorithms for Machine Learning,13
215803,A First Look at Chebyshev-Sobolev Series for Digital Ink,Geometric Modeling with Spline Curves,444
285932,A Four-stage Heuristic Algorithm for Solving On-demand Meal Delivery Routing Problem,Routing and Scheduling Optimization,183
77470,Brain Computer Interface for Gesture Control of a Social Robot: an Offline Study,EEG-based Brain-Computer Interfaces for Sleep and Seizure Detection,37
165792,CoT-AMFlow: Adaptive Modulation Network with Co-Teaching Strategy for Unsupervised Optical Flow Estimation,Deep Learning for Flow Estimation,324
213615,Algorithmic neutrality,Algorithmic Fairness and Bias Detection,36
131546,Evaluating Gender Bias in Hindi-English Machine Translation,Computational Study of Gender Bias,337
153559,ReMoRa: Multimodal Large Language Model based on Refined Motion Representation for Long-Video Understanding,Multimodal Vision-Language Understanding,12
168880,Dual-encoder Bidirectional Generative Adversarial Networks for Anomaly Detection,Anomaly Detection for Predictive Faults,23
259943,Towards a Network Expansion Approach for Reliable Brain-Computer Interface,EEG-based Brain-Computer Interfaces for Sleep and Seizure Detection,37
48287,Modelling visual-vestibular integration and behavioural adaptation in the driving simulator,Pedestrian and Vehicle Interaction Simulation,382
233427,Paired Domination versus Domination and Packing Number in Graphs,Domination and Coloring on Graphs,7
45694,"Automated Detection of hidden Damages and Impurities in Aluminum Die Casting Materials and Fibre-Metal Laminates using Low-quality X-ray Radiography, Synthetic X-ray Data Augmentation by Simulation, and Machine Learning",Solar Cell Defect Detection and Inspection,380
68347,C-blox: A Scalable and Consistent TSDF-based Dense Mapping Approach,Visual-Inertial Localization and Mapping,20
240558,Regstar: Efficient Strategy Synthesis for Adversarial Patrolling Games,Game Theory and Nash Equilibria,15
3241,Adversarial Computation of Optimal Transport Maps,Optimal Transport Theory and Algorithms,206
146049,Structure-Enhanced Pop Music Generation via Harmony-Aware Learning,Symbolic Music Generation and Representation,52
35705,On Deep Instrumental Variables Estimate,Causal Inference and Treatment Effects,171
40513,Wireless Energy Harvesting Cooperative Communications with Direct Link and Energy Accumulation,Energy Harvesting Secure Communications,39
38586,Diverse Skill Discovery for Quadruped Robots via Unsupervised Learning,Bipedal and Quadrupedal Locomotion Control,57
23051,Updating Barcodes and Representatives for Zigzag Persistence,Topological Data Analysis and Persistence,121
50809,"The benefit of a 1-bit jump-start, and the necessity of stochastic encoding, in jamming channels",Lossy Source Coding Theory,276
35275,TensAIR: Real-Time Training of Neural Networks from Data-streams,Concept Drift Detection in Data Streams,482
96134,Between Homomorphic Signal Processing and Deep Neural Networks: Constructing Deep Algorithms for Polyphonic Music Transcription,Symbolic Music Generation and Representation,52
238606,Strategy Representation by Decision Trees with Linear Classifiers,Temporal Logic and Model Checking,300
258221,FLAME: Flexible and Lightweight Biometric Authentication Scheme in Malicious Environments,Biometric Authentication and Anti-Spoofing,21
70893,A Survey on Inference Optimization Techniques for Mixture of Experts Models,Mixture of Experts Architectures,168
184712,Modular specification of monads through higher-order presentations,Categorical Logic and Homotopy Type Theory,27
132682,MUSER: A MUlti-Step Evidence Retrieval Enhancement Framework for Fake News Detection,Social Media Misinformation and Political News,2
122584,OK-VQA: A Visual Question Answering Benchmark Requiring External Knowledge,Visual Question Answering Systems,78
239329,Generalized Rental Harmony,Fair Division of Indivisible Goods,322
76799,GaitRef: Gait Recognition with Refined Sequential Skeletons,Gait Recognition and Analysis,369
264349,Rethinking Science in the Age of Artificial Intelligence,Reproducible and FAIR Science,332
131651,A capacity renting framework for shared energy storage considering peer-to-peer energy trading of prosumers with privacy protection,Grid Integration of Renewable Energy Storage,1
253718,Improving OCR for Historical Texts of Multiple Languages,Scene Text Recognition,205
39945,Convergence and stability of a micro-macro acceleration method:linear slow-fast stochastic differential equations with additive noise,Numerical Analysis of Stochastic Equations,280
145472,Multi-Instance Multi-Label Learning Networks for Aspect-Category Sentiment Analysis,Aspect-Based Sentiment Analysis,346
76925,IAD: Interaction-Aware Diffusion Framework in Social Networks,Epidemic Spreading and Contagion Dynamics,249
262433,Analytical study of quality-biased competition dynamics for memes in social media,Epidemic Spreading and Contagion Dynamics,249
14832,Approximation analysis of CNNs from a feature extraction view,Neural Network Optimization and Analysis,11
129731,WIND: Weather Inverse Diffusion for Zero-Shot Atmospheric Modeling,Atmospheric Weather and Climate Forecasting,59
66738,Contextual Information and Commonsense Based Prompt for Emotion Recognition in Conversation,Multimodal Emotion Recognition and Analysis,45
172249,PairSmell: A Novel Perspective Inspecting Software Modular Structure,Software Code and Technical Debt Smells,451
176132,Adversarial Auto-encoders for Speech Based Emotion Recognition,Multimodal Emotion Recognition and Analysis,45
236807,Blind Motion Deblurring through SinGAN Architecture,Image and Video Deblurring Techniques,212
46606,PFT: Phonon Fine-tuning for Machine Learned Interatomic Potentials,Computational Materials Potentials,203
96000,Vision Based Dynamic Offside Line Marker for Soccer Games,"Sports, Games, and Athletic Performance Studies",292
233703,Well Behaved Transition Systems,Theory of Automata and Formal Languages,53
183068,Counting Geodesic Paths in 1D VANETs,MANET routing and ad hoc networks,248
92866,Detecting Troll Behavior via Inverse Reinforcement Learning: A Case Study of Russian Trolls in the 2016 US Election,Inverse Reinforcement Learning from Demonstrations,456
233320,Black-Box Segmentation of Electronic Medical Records,Electronic Health Records for Sepsis and Diabetes,38
293886,No-Regret Replanning under Uncertainty,Embodied Planning for Web and Minecraft Environments,270
291651,SantaCoder: don't reach for the stars!,Large-Scale Code Generation with LLMs,260
283381,Quadratic type checking for objective type theory,Categorical Logic and Homotopy Type Theory,27
150623,Where Do Reasoning Models Refuse?,Chain-of-Thought Reasoning Models,163
240872,A Conditional Denoising Diffusion Probabilistic Model for Point Cloud Upsampling,3D Point Cloud Processing and Analysis,66
4920,Handling Syntactic Divergence in Low-resource Machine Translation,Neural Machine Translation Quality Assessment,22
161103,Adaptive Fine-Grained Predicates Learning for Scene Graph Generation,Scene Graph Generation and Analysis,409
167113,An organized review of key factors for fake news detection,Social Media Misinformation and Political News,2
27818,The Evolving Duet of Two Modalities: A Survey on Integrating Text and Visualization for Data Communication,Data Visualization and Analytics,101
7640,What is Learning Analytics about? A Survey of Different Methods Used in 2013-2015,MOOCs and Student Learning in Online Environments,305
101589,PEACE 2.0: Grounded Explanations and Counter-Speech for Combating Hate Expressions,Hate Speech and Abusive Language Detection,209
110103,Modelling the Scene Dependent Imaging in Cameras with a Deep Neural Network,Computational Image Restoration and Generation,301
136674,TrajectoryNet: An Embedded GPS Trajectory Representation for Point-based Classification Using Recurrent Neural Networks,Urban Mobility and Smartphone Data,189
80122,Driving with Style: Inverse Reinforcement Learning in General-Purpose Planning for Automated Driving,Autonomous Urban Driving Policies,239
273874,Fast Complete Algorithm for Multiplayer Nash Equilibrium,Game Theory and Nash Equilibria,15
69614,Visualization Biases MLLM's Decision Making in Network Data Tasks,Data Visualization and Analytics,101
63699,Downlink Analysis of NOMA-enabled Cellular Networks with 3GPP-inspired User Ranking,Nonorthogonal Multiple Access Systems,137
84164,Efficient Spatial Nearest Neighbor Queries Based on Multi-layer Voronoi Diagrams,Locality-Sensitive Similarity Search,106
20753,The US Algorithmic Accountability Act of 2022 vs. The EU Artificial Intelligence Act: What can they learn from each other?,AI Ethics and Governance Frameworks,29
31664,CoLA: Collaborative Low-Rank Adaptation,Parameter Efficient Adaptation for Language Models,115
56369,Control of a nonlinear continuous stirred tank reactor via event triggered sliding modes,Stability and Control of Nonlinear Systems,26
121858,Designing Compact Features for Remote Stroke Rehabilitation Monitoring using Wearable Accelerometers,Wearable Sensing for Activity Recognition,152
60615,Mask Hierarchical Features For Self-Supervised Learning,Contrastive Selfsupervised Learning,218
256458,Target-Aware Generative Augmentations for Single-Shot Adaptation,Data Augmentation and Mixup Techniques,366
9612,HUMUS-Net: Hybrid unrolled multi-scale network architecture for accelerated MRI reconstruction,Medical Imaging Reconstruction Techniques,41
40259,Zone-based Keyword Spotting in Bangla and Devanagari Documents,Scene Text Recognition,205
53049,Training Design and Two-stage Channel Estimation for Correlated Two-way MIMO Relay Systems,Massive MIMO Beamforming and Precoding,9
266833,Hierarchical Intention Tracking with Switching Trees for Real-Time Adaptation to Dynamic Human Intentions during Collaboration,Human-Robot Collaboration Systems,420
160970,Promotion of Answer Value Measurement with Domain Effects in Community Question Answering Systems,Question Answering from Reading Passages,48
91210,Multistage Campaigning in Social Networks,Social Influence Maximization,258
72955,Visual Concept-Metaconcept Learning,Visual Question Answering Systems,78
295894,Regression-based Online Anomaly Detection for Smart Grid Data,Anomaly Detection for Predictive Faults,23
161536,Event-Driven Implicit Authentication for Mobile Access Control,Authentication and Password Security,144
282215,Streaming Similarity Self-Join,Locality-Sensitive Similarity Search,106
42618,VideoPrism: A Foundational Visual Encoder for Video Understanding,Video Grounding and Captioning,174
6061,Compare More Nuanced:Pairwise Alignment Bilinear Network For Few-shot Fine-grained Learning,Fine-Grained Visual Classification,219
222458,An Empirical Study on Writer Identification & Verification from Intra-variable Individual Handwriting,Handwritten Chinese Character Recognition,210
214028,Tight Better-Than-Worst-Case Bounds for Element Distinctness and Set Intersection,Fully Dynamic Graph Algorithms,166
263519,The Yin-Yang dataset,Spiking Neural Networks and Plasticity,132
210991,Jersey Number Recognition using Keyframe Identification from Low-Resolution Broadcast Videos,"Sports, Games, and Athletic Performance Studies",292
283998,Groebner basis structure of ideal interpolation,Algebraic Geometry of Polynomial Systems,83
5444,Towards Learning in Grey Spatiotemporal Systems: A Prophet to Non-consecutive Spatiotemporal Dynamics,Time Series Forecasting and Classification,80
147062,Procam Calibration from a Single Pose of a Planar Target,SfM and Camera Pose Estimation,247
188052,A Digital Forensics Investigation of a Smart Scale IoT Ecosystem,Cyber Threat Intelligence and Forensics,326
6817,A Study of Genetic Algorithms for Hyperparameter Optimization of Neural Networks in Machine Translation,Optimization Algorithms for Machine Learning,13
153677,Towards Co-operative Congestion Mitigation,Autonomous Urban Driving Policies,239
75576,SignalTrain: Profiling Audio Compressors with Deep Neural Networks,Audio-Visual Source and Event Analysis,313
134991,DumpyOS: A Data-Adaptive Multi-ary Index for Scalable Data Series Similarity Search,Locality-Sensitive Similarity Search,106
284220,New Dataset and Methods for Fine-Grained Compositional Referring Expression Comprehension via Specialist-MLLM Collaboration,Referring Expression Grounding and Comprehension,485
71366,Extract More from Less: Efficient Fine-Grained Visual Recognition in Low-Data Regimes,Fine-Grained Visual Classification,219
19665,Detecting train driveshaft damages using accelerometer signals and Differential Convolutional Neural Networks,Anomaly Detection for Predictive Faults,23
16181,Experimental study of Neural ODE training with adaptive solver for dynamical systems modeling,Neural Ordinary Differential Equations,343
42696,Incremental Updates of Generalized Hypertree Decompositions,Constraint Satisfaction and Algebra,287
145568,Corrupt Bandits for Preserving Local Privacy,Contextual Bandit Methods,54
263680,Revisiting Reuse in Main Memory Database Systems,In-Memory Computing Architectures,442
114739,Whose Hands Are in the Finnish Cookie Jar?,Web Privacy and Fingerprinting Techniques,199
134849,OS-Marathon: Benchmarking Computer-Use Agents on Long-Horizon Repetitive Tasks,Embodied Planning for Web and Minecraft Environments,270
150836,Synchronization and multi-cluster capabilities of oscillatory networks with adaptive coupling,Networked Multiagent Synchronization Control,103
149295,Stacked LSTM Based Deep Recurrent Neural Network with Kalman Smoothing for Blood Glucose Prediction,Time Series Forecasting and Classification,80
5109,NEMESIS: Noise-suppressed Efficient MAE with Enhanced Superpatch Integration Strategy,Masked Image Modeling with MAEs,399
94018,A Selective Survey on Versatile Knowledge Distillation Paradigm for Neural Network Models,Knowledge Distillation Techniques,67
212051,Incremental Class Learning using Variational Autoencoders with Similarity Learning,Continual and Incremental Learning,42
97974,Convergence rates for discretized Monge-Amp`ere equations and quantitative stability of optimal transport,Optimal Transport Theory and Algorithms,206
221758,Stochastic Deconvolutional Neural Network Ensemble Training on Generative Pseudo-Adversarial Networks,Generative Adversarial Networks,46
105269,Neural Stain-Style Transfer Learning using GAN for Histopathological Images,Digital Histopathology of Breast Cancer,49
211153,On the Upward/Downward Closures of Petri Nets,Timed Nets and Automata Analysis,275
292085,End-to-End Task-Completion Neural Dialogue Systems,Task-Oriented Dialogue Systems,51
274903,Exploiting Heterogeneous Graph Neural Networks with Latent Worker/Task Correlation Information for Label Aggregation in Crowdsourcing,Crowdsourcing Workers and Prediction,111
146580,Emergency Response Measures for Catastrophic AI Risk,AI Ethics and Governance Frameworks,29
19430,Fast AdvProp,Adversarial Machine Learning Robustness,6
248359,Frequency Estimation in Data Streams: Learning the Optimal Hashing Scheme,Hashing for Information Retrieval,240
75344,Identifying and Upweighting Power-Niche Users to Mitigate Popularity Bias in Recommendations,Recommender Systems and Collaborative Filtering,16
84888,Query-Driven Knowledge Base Completion using Multimodal Path Fusion over Multimodal Knowledge Graph,Knowledge Graph Completion and Alignment,50
275466,SAFIRE: Segment Any Forged Image Region,Image and Face Forgery Detection,70
236219,Retransmission performance in a stochastic geometric cellular network model,Radio Access Network Technologies,474
73302,"FG 2025 TrustFAA: the First Workshop on Towards Trustworthy Facial Affect Analysis: Advancing Insights of Fairness, Explainability, and Safety (TrustFAA)",Facial Expression Recognition using Action Units,169
88768,The Upper Bound on Knots in Neural Networks,Neural Network Optimization and Analysis,11
265417,NetLSD: Hearing the Shape of a Graph,Graph Signal Clustering and Spectral Methods,124
206505,DynoSAM: Open-Source Smoothing and Mapping Framework for Dynamic SLAM,Visual-Inertial Localization and Mapping,20
148759,Pose-dependent weights and Domain Randomization for fully automatic X-ray to CT Registration,Deformable Registration for Dental Imaging,112
245974,COVID-19 Pandemic: Identifying Key Issues using Social Media and Natural Language Processing,COVID-19 Epidemiology and Public Health Response,107
46535,Koopman interpretation and analysis of a public-key cryptosystem: Diffie-Hellman key exchange,Koopman Operator Theory for Dynamical Systems,384
94354,"Agile Software Development Method, A Comparative Review1",Software Engineering and Agile Methodologies,71
47990,Robust Active Learning for Electrocardiographic Signal Classification,ECG Arrhythmia Classification and Diagnosis,177
244006,Enhancing Covid-19 Decision-Making by Creating an Assurance Case for Simulation Models,COVID-19 Epidemiology and Public Health Response,107
174363,Online Multi-Object Tracking Framework with the GMPHD Filter and Occlusion Group Management,Multiobject Tracking and Data Association,233
205802,Multi-Task Learning as a Bargaining Game,Multitask Deep Learning Models,246
163803,Particle-Gibbs Sampling For Bayesian Feature Allocation Models,Bayesian Inference Methods,47
141587,Efficient computation of oriented vertex and arc colorings of special digraphs,Domination and Coloring on Graphs,7
92505,Dynamic Neural Network Channel Execution for Efficient Training,Network Pruning and Compression Techniques,56
210976,Parameter Estimation Under Model Uncertainties by Iterative Covariance Approximation,Sparse Regression and Covariance Estimation,236
284798,Exploring Generalization in Deep Learning,Out-of-Distribution Detection and Generalization,82
46087,Improved FPT Algorithms for Deletion to Forest-like Structures,Fully Dynamic Graph Algorithms,166
188111,Alignment of the Virtual Scene to the Tracking Space of a Mixed Reality Head-Mounted Display,Immersive Technologies for Visual Impairment,32
51471,Full-Reference Speech Quality Estimation with Attentional Siamese Neural Networks,Acoustic Speech Separation and Enhancement,87
1871,In2I : Unsupervised Multi-Image-to-Image Translation Using Generative Adversarial Networks,Unpaired Image Translation,303
287142,Predicting trajectory behaviour via machine-learned invariant manifolds,Pedestrian and Vehicle Trajectory Forecasting,93
102051,Joint AP Probing and Scheduling: A Contextual Bandit Approach,Contextual Bandit Methods,54
83974,The Diameter of (Threshold) Geometric Inhomogeneous Random Graphs,Scalefree Networks and Preferential Attachment,325
281572,Learn From All: Erasing Attention Consistency for Noisy Label Facial Expression Recognition,Facial Expression Recognition using Action Units,169
188912,Group Re-Identification with Multi-grained Matching and Integration,Person Reidentification Methods,65
32369,"From Procedures, Objects, Actors, Components, Services, to Agents -- A Comparative Analysis of the History and Evolution of Programming Abstractions",Type Systems and Polymorphism in Programming Languages,336
213082,Cognitive Dynamic Systems: A Technical Review of Cognitive Radar,SAR Radar Image Analysis and Target Recognition,462
238095,Legally grounded fairness objectives,Algorithmic Fairness and Bias Detection,36
94314,Discretization and Optimization using Graphs: One-Dimensional Algorithm,Optimization Algorithms for Machine Learning,13
257420,CLBlast: A Tuned OpenCL BLAS Library,Sparse Linear Algebra Computations,289
252366,Gateway Station Geographical Planning for Emerging Non-Geostationary Satellites Constellations,LEO Satellite Constellations and Orbits,340
289944,Multi-way Particle Swarm Fusion,3D Perception from Sensor Fusion,75
15364,SaccadeNet: Towards Real-time Saccade Prediction for Virtual Reality Infinite Walking,Gaze and Eye Tracking,226
