article_id,title,cluster_description,cluster_id
234000,The Topology-Free Construction of the Universal Type Structure for Conditional Probability Systems,Categorical Logic and Homotopy Type Theory,27
243965,DER Allocation and Line Repair Scheduling for Storm-induced Failures in Distribution Networks,Grid Integration of Renewable Energy Storage,1
272837,Robust Learning from Observation with Model Misspecification,Imitation Learning from Expert Demonstrations,378
237560,Discovering the Graph Structure in the Clustering Results,Clustering and Coreset Methods,72
99200,Vision-Language-Vision Auto-Encoder: Scalable Knowledge Distillation from Diffusion Models,Vision-Language Pretraining Models,237
210954,Preprocessing Methods for Memristive Reservoir Computing for Image Recognition,Reservoir Computing and Networks,232
248458,Optimized Blockchain Model for Internet of Things based Healthcare Applications,Blockchain and Smart Contract Transactions,3
135638,Adversarial Network Traffic: Towards Evaluating the Robustness of Deep Learning-Based Network Traffic Classification,IoT Intrusion Detection and DDoS Attacks,31
258619,AN-aided Secure Transmission in Multi-user MIMO SWIPT Systems,Energy Harvesting Secure Communications,39
299941,Soft policy optimization using dual-track advantage estimator,Optimization Algorithms for Machine Learning,13
285218,Approximation and parameterized algorithms for geometric independent set with shrinking,Geometry of Convex Shapes and Polygons,439
265700,Identifying Corresponding Patches in SAR and Optical Images with a Pseudo-Siamese CNN,SAR Radar Image Analysis and Target Recognition,462
35275,TensAIR: Real-Time Training of Neural Networks from Data-streams,Concept Drift Detection in Data Streams,482
58331,"Concurrent build direction, part segmentation, and topology optimization for additive manufacturing using neural networks",Computational Materials Potentials,203
90415,VINS-Mono: A Robust and Versatile Monocular Visual-Inertial State Estimator,Visual-Inertial Localization and Mapping,200
243343,FM-index of Alignment with Gaps,Suffix Structures and String Matching,100
19665,Detecting train driveshaft damages using accelerometer signals and Differential Convolutional Neural Networks,Anomaly Detection for Predictive Faults,23
257570,Conversation Progress Guide : UI System for Enhancing Self-Efficacy in Conversational AI,Conversational AI and Process Automation,375
31698,Taking the Scenic Route: Automatic Exploration for Videogames,Procedural Content in Video Games,436
136220,Extended Fiducial Inference: Toward an Automated Process of Statistical Inference,Bayesian Inference Methods,47
39301,SciSports: Learning football kinematics through two-dimensional tracking data,"Sports, Games, and Athletic Performance Studies",292
185996,PointCleanNet: Learning to Denoise and Remove Outliers from Dense Point Clouds,3D Point Cloud Processing and Analysis,66
